run	patient	arm	cell_type	percentage
SRR36909584	S3	IL8	Other	52.01487050214091
SRR36909584	S3	IL8	CD4_T_cells	2.871262254978626
SRR36909584	S3	IL8	CD8_T_cells	1.5925180695265937
SRR36909584	S3	IL8	Endothelium	20.908258524553503
SRR36909584	S3	IL8	Fibroblasts	4.426431867414021
SRR36909584	S3	IL8	Macrophages	2.810892438293417
SRR36909584	S3	IL8	Monocytes	7.177702050354837
SRR36909584	S3	IL8	NK_cells	7.4985215896397905
SRR36909584	S3	IL8	Non_plasma_B_cells	0.5831033613985813
SRR36909584	S3	IL8	Plasma_B_cells	0.1164393416997376
SRR36909584	S3	IL8	T_cells	4.463780324505219
SRR36909584	S3	IL8	Monocytic_cells	9.988594488648252
SRR36909584	S3	IL8	B_cells	0.6995427030983189
SRR36909584	S3	IL8	Immune_general	22.650439105891586
SRR36909584	S3	IL8	Lymphocytes	12.661844617243329
SRR36909584	S3	IL8	Stromal	25.334690391967523
SRR36909585	S3	control	Other	55.61424669588399
SRR36909585	S3	control	CD4_T_cells	2.595140069823085
SRR36909585	S3	control	CD8_T_cells	0.7163421898644773
SRR36909585	S3	control	Endothelium	14.483396969288115
SRR36909585	S3	control	Fibroblasts	7.019310840686554
SRR36909585	S3	control	Macrophages	2.3598036303747665
SRR36909585	S3	control	Monocytes	5.308573092231275
SRR36909585	S3	control	NK_cells	10.52587473865762
SRR36909585	S3	control	Non_plasma_B_cells	1.1419721022280152
SRR36909585	S3	control	Plasma_B_cells	0.2353396709620883
SRR36909585	S3	control	T_cells	3.311482259687562
SRR36909585	S3	control	Monocytic_cells	7.668376722606042
SRR36909585	S3	control	B_cells	1.3773117731901037
SRR36909585	S3	control	Immune_general	22.883045494141328
SRR36909585	S3	control	Lymphocytes	15.214668771535289
SRR36909585	S3	control	Stromal	21.502707809974677
SRR36909586	S2	IL8	Other	49.4883665858796
SRR36909586	S2	IL8	CD4_T_cells	8.029331104091156
SRR36909586	S2	IL8	CD8_T_cells	3.9704186071961
SRR36909586	S2	IL8	Endothelium	11.441765464872272
SRR36909586	S2	IL8	Fibroblasts	7.86880148708634
SRR36909586	S2	IL8	Macrophages	1.140954678939571
SRR36909586	S2	IL8	Monocytes	6.780289120473601
SRR36909586	S2	IL8	NK_cells	9.31533100441281
SRR36909586	S2	IL8	Non_plasma_B_cells	1.6137408232823969
SRR36909586	S2	IL8	Plasma_B_cells	0.3510011237661418
SRR36909586	S2	IL8	T_cells	11.999749711287254
SRR36909586	S2	IL8	Monocytic_cells	7.921243799413172
SRR36909586	S2	IL8	B_cells	1.9647419470485383
SRR36909586	S2	IL8	Immune_general	31.201066462161776
SRR36909586	S2	IL8	Lymphocytes	23.279822662748604
SRR36909586	S2	IL8	Stromal	19.310566951958613
SRR36909593	S2	control	Other	47.12081161499071
SRR36909593	S2	control	CD4_T_cells	11.821347185713178
SRR36909593	S2	control	CD8_T_cells	6.472301279112133
SRR36909593	S2	control	Endothelium	12.147968936240972
SRR36909593	S2	control	Fibroblasts	4.411275142880735
SRR36909593	S2	control	Macrophages	2.695512465387921
SRR36909593	S2	control	Monocytes	7.132436064515585
SRR36909593	S2	control	NK_cells	8.198347311158779
SRR36909593	S2	control	Non_plasma_B_cells	0.0
SRR36909593	S2	control	Plasma_B_cells	0.0
SRR36909593	S2	control	T_cells	18.29364846482531
SRR36909593	S2	control	Monocytic_cells	9.827948529903503
SRR36909593	S2	control	B_cells	0.0
SRR36909593	S2	control	Immune_general	36.3199443058876
SRR36909593	S2	control	Lymphocytes	26.491995775984087
SRR36909593	S2	control	Stromal	16.559244079121704
SRR36909604	S1	IL8	Other	41.86886070740368
SRR36909604	S1	IL8	CD4_T_cells	11.11967134289526
SRR36909604	S1	IL8	CD8_T_cells	4.60986606048241
SRR36909604	S1	IL8	Endothelium	15.132459032065828
SRR36909604	S1	IL8	Fibroblasts	3.5091421032175085
SRR36909604	S1	IL8	Macrophages	3.3520574610875866
SRR36909604	S1	IL8	Monocytes	9.077910456552647
SRR36909604	S1	IL8	NK_cells	11.330032836295072
SRR36909604	S1	IL8	Non_plasma_B_cells	0.0
SRR36909604	S1	IL8	Plasma_B_cells	0.0
SRR36909604	S1	IL8	T_cells	15.729537403377671
SRR36909604	S1	IL8	Monocytic_cells	12.429967917640234
SRR36909604	S1	IL8	B_cells	0.0
SRR36909604	S1	IL8	Immune_general	39.48953815731298
SRR36909604	S1	IL8	Lymphocytes	27.059570239672745
SRR36909604	S1	IL8	Stromal	18.641601135283334
SRR36909605	S1	control	Other	52.73644701028277
SRR36909605	S1	control	CD4_T_cells	10.265676252453408
SRR36909605	S1	control	CD8_T_cells	1.9021770630481192
SRR36909605	S1	control	Endothelium	10.134776139177086
SRR36909605	S1	control	Fibroblasts	2.5953438258313146
SRR36909605	S1	control	Macrophages	2.705371165994353
SRR36909605	S1	control	Monocytes	8.612671477064747
SRR36909605	S1	control	NK_cells	11.047537066148196
SRR36909605	S1	control	Non_plasma_B_cells	0.0
SRR36909605	S1	control	Plasma_B_cells	0.0
SRR36909605	S1	control	T_cells	12.167853315501526
SRR36909605	S1	control	Monocytic_cells	11.3180426430591
SRR36909605	S1	control	B_cells	0.0
SRR36909605	S1	control	Immune_general	34.53343302470882
SRR36909605	S1	control	Lymphocytes	23.215390381649723
SRR36909605	S1	control	Stromal	12.7301199650084
